fight,final_round,ko여부,winner_sig_str_succ,winner_sig_str_att,loser_sig_str_succ,loser_sig_str_att,winner_total_str_succ,winner_total_str_att,loser_total_str_succ,loser_total_str_att,winner_td_attempt_succ,winner_td_attempt_att,loser_td_attempt_succ,loser_td_attempt_att,winner_head_succ,winner_head_att,loser_head_succ,loser_head_att,winner_body_succ,winner_body_att,loser_body_succ,loser_body_att,winner_leg_succ,winner_leg_att,loser_leg_succ,loser_leg_att,winner_distance_succ,winner_distance_att,loser_distance_succ,loser_distance_att,winner_clinch_succ,winner_clinch_att,loser_clinch_succ,loser_clinch_att,winner_ground_succ,winner_ground_att,loser_ground_succ,loser_ground_att,winner_kd,loser_kd,winner_sig_str_pct,loser_sig_str_pct,winner_td_pct,loser_td_pct,winner_sub_att,loser_sub_att,winner_rev,loser_rev,winner_ctrl_sec,loser_ctrl_sec
fight130,2,1,13.0,28.0,11.0,24.0,14.0,29.0,11.0,25.0,0.0,0.0,1.0,5.0,6.0,13.0,4.0,15.0,2.0,8.0,1.0,1.0,5.0,7.0,6.0,8.0,10.0,23.0,11.0,24.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,45.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,30.0
fight131,2,1,16.0,54.0,24.0,58.0,17.0,55.0,26.0,60.0,1.0,2.0,0.0,0.0,9.0,40.0,18.0,48.0,7.0,14.0,1.0,4.0,0.0,0.0,5.0,6.0,12.0,49.0,24.0,57.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,41.0,50.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0
fight133,2,1,5.0,9.0,4.0,6.0,10.0,17.0,16.0,18.0,1.0,3.0,0.0,0.0,3.0,7.0,4.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,3.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,33.0,0.0,2.0,0.0,0.0,0.0,258.0,0.0
fight134,2,1,22.0,39.0,8.0,18.0,25.0,43.0,8.0,20.0,0.0,1.0,0.0,2.0,9.0,19.0,4.0,12.0,13.0,20.0,3.0,5.0,0.0,0.0,1.0,1.0,7.0,19.0,5.0,14.0,6.0,11.0,3.0,4.0,9.0,9.0,0.0,0.0,0.0,0.0,56.0,44.0,0.0,0.0,2.0,0.0,0.0,0.0,173.0,9.0
fight144,2,1,13.0,49.0,9.0,22.0,13.0,49.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,30.0,7.0,18.0,5.0,10.0,2.0,4.0,8.0,9.0,0.0,0.0,13.0,49.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fight145,2,1,8.0,25.0,5.0,10.0,12.0,31.0,7.0,12.0,0.0,0.0,0.0,0.0,6.0,15.0,4.0,9.0,1.0,1.0,0.0,0.0,1.0,9.0,1.0,1.0,4.0,15.0,5.0,10.0,3.0,3.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,32.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0
fight149,2,1,52.0,104.0,38.0,95.0,52.0,104.0,38.0,95.0,0.0,0.0,0.0,0.0,31.0,76.0,28.0,82.0,14.0,20.0,6.0,9.0,7.0,8.0,4.0,4.0,51.0,102.0,38.0,95.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fight151,2,1,23.0,45.0,26.0,68.0,28.0,50.0,27.0,69.0,1.0,2.0,0.0,0.0,11.0,27.0,14.0,47.0,6.0,12.0,12.0,20.0,6.0,6.0,0.0,1.0,23.0,45.0,26.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,38.0,50.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
fight152,2,1,6.0,16.0,11.0,17.0,43.0,53.0,46.0,55.0,0.0,0.0,1.0,1.0,4.0,11.0,7.0,13.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,4.0,3.0,13.0,6.0,10.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,7.0,0.0,0.0,37.0,64.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0
fight153,2,1,24.0,39.0,12.0,38.0,28.0,43.0,13.0,39.0,0.0,0.0,1.0,2.0,15.0,25.0,7.0,30.0,7.0,12.0,2.0,4.0,2.0,2.0,3.0,4.0,14.0,24.0,10.0,35.0,7.0,12.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,61.0,31.0,0.0,50.0,0.0,0.0,1.0,0.0,90.0,16.0
