fight_id,current_round,kd,sig_str,sig_str_pct,total_str,td_attempt,td_pct,sub_att,rev,ctrl_sec,head,body,leg,distance,clinch,ground,total_round,method
fight124,2,"[0, 0]","[[0, 4], [1, 6]]","[0.0, 16.0]","[[35, 49], [7, 16]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[1, 0]","[0, 0]","[265, 0]","[[0, 3], [1, 4]]","[[0, 1], [0, 2]]","[[0, 0], [0, 0]]","[[0, 4], [1, 6]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight130,1,"[0, 0]","[[9, 16], [16, 30]]","[56.0, 53.0]","[[17, 24], [28, 43]]","[[1, 4], [0, 0]]","[25.0, 0.0]","[0, 0]","[0, 0]","[169, 0]","[[3, 10], [1, 10]]","[[5, 5], [8, 12]]","[[1, 1], [7, 8]]","[[8, 14], [14, 26]]","[[1, 2], [2, 4]]","[[0, 0], [0, 0]]",,Submission
fight130,2,"[0, 0]","[[13, 17], [7, 20]]","[76.0, 35.0]","[[28, 34], [15, 28]]","[[3, 3], [0, 0]]","[100.0, 0.0]","[1, 0]","[0, 0]","[162, 2]","[[11, 15], [1, 9]]","[[2, 2], [2, 6]]","[[0, 0], [4, 5]]","[[3, 7], [7, 19]]","[[0, 0], [0, 1]]","[[10, 10], [0, 0]]",,Submission
fight141,1,"[0, 0]","[[6, 11], [12, 18]]","[54.0, 66.0]","[[10, 16], [51, 60]]","[[0, 0], [2, 2]]","[0.0, 100.0]","[0, 0]","[0, 0]","[38, 228]","[[1, 5], [9, 15]]","[[5, 6], [3, 3]]","[[0, 0], [0, 0]]","[[2, 5], [5, 10]]","[[2, 2], [3, 3]]","[[2, 4], [4, 5]]",,Submission
fight141,2,"[0, 1]","[[13, 28], [18, 23]]","[46.0, 78.0]","[[15, 30], [21, 26]]","[[0, 1], [0, 1]]","[0.0, 0.0]","[0, 1]","[0, 0]","[4, 77]","[[6, 18], [16, 20]]","[[7, 9], [2, 3]]","[[0, 1], [0, 0]]","[[8, 21], [16, 21]]","[[5, 6], [2, 2]]","[[0, 1], [0, 0]]",,Submission
fight150,1,"[0, 0]","[[10, 21], [7, 8]]","[47.0, 87.0]","[[18, 29], [26, 27]]","[[1, 1], [3, 8]]","[100.0, 37.0]","[2, 0]","[0, 0]","[61, 212]","[[9, 19], [3, 4]]","[[1, 2], [4, 4]]","[[0, 0], [0, 0]]","[[1, 8], [2, 2]]","[[5, 6], [5, 6]]","[[4, 7], [0, 0]]",,Submission
fight150,2,"[0, 0]","[[7, 18], [9, 14]]","[38.0, 64.0]","[[12, 24], [15, 21]]","[[0, 0], [0, 1]]","[0.0, 0.0]","[2, 0]","[0, 0]","[43, 78]","[[5, 15], [2, 4]]","[[1, 2], [5, 8]]","[[1, 1], [2, 2]]","[[3, 14], [7, 10]]","[[3, 3], [2, 4]]","[[1, 1], [0, 0]]",,Submission
fight160,1,"[0, 0]","[[6, 7], [5, 7]]","[85.0, 71.0]","[[15, 16], [32, 39]]","[[0, 0], [2, 3]]","[0.0, 66.0]","[0, 1]","[0, 0]","[0, 274]","[[2, 2], [2, 3]]","[[2, 2], [2, 3]]","[[2, 3], [1, 1]]","[[3, 4], [2, 4]]","[[2, 2], [1, 1]]","[[1, 1], [2, 2]]",,Submission
fight160,2,"[0, 0]","[[5, 7], [3, 3]]","[71.0, 100.0]","[[5, 7], [9, 9]]","[[0, 0], [1, 2]]","[0.0, 50.0]","[1, 1]","[0, 0]","[0, 70]","[[1, 3], [2, 2]]","[[3, 3], [1, 1]]","[[1, 1], [0, 0]]","[[3, 5], [2, 2]]","[[2, 2], [1, 1]]","[[0, 0], [0, 0]]",,Submission
fight165,1,"[0, 0]","[[26, 64], [23, 52]]","[40.0, 44.0]","[[32, 73], [25, 54]]","[[1, 2], [0, 0]]","[50.0, 0.0]","[0, 0]","[0, 0]","[35, 0]","[[23, 61], [13, 41]]","[[3, 3], [5, 6]]","[[0, 0], [5, 5]]","[[25, 63], [23, 52]]","[[1, 1], [0, 0]]","[[0, 0], [0, 0]]",,Submission
