fight_id,current_round,kd,sig_str,sig_str_pct,total_str,td_attempt,td_pct,sub_att,rev,ctrl_sec,head,body,leg,distance,clinch,ground,total_round,method
fight1,1,"[0, 0]","[[9, 41], [12, 30]]","[21.0, 40.0]","[[11, 43], [17, 35]]","[[0, 0], [2, 3]]","[0.0, 66.0]","[0, 0]","[0, 0]","[0, 47]","[[5, 30], [9, 25]]","[[3, 7], [1, 1]]","[[1, 4], [2, 4]]","[[9, 41], [12, 30]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Decision - Unanimous
fight1,2,"[0, 0]","[[19, 46], [10, 22]]","[41.0, 45.0]","[[26, 53], [14, 28]]","[[0, 0], [2, 4]]","[0.0, 50.0]","[0, 0]","[0, 0]","[0, 142]","[[11, 36], [7, 19]]","[[7, 9], [2, 2]]","[[1, 1], [1, 1]]","[[18, 44], [8, 19]]","[[1, 2], [1, 2]]","[[0, 0], [1, 1]]",,Decision - Unanimous
fight1,3,"[0, 0]","[[37, 101], [17, 41]]","[36.0, 41.0]","[[41, 105], [17, 41]]","[[0, 0], [1, 3]]","[0.0, 33.0]","[0, 0]","[1, 0]","[24, 13]","[[24, 84], [11, 35]]","[[6, 9], [3, 3]]","[[7, 8], [3, 3]]","[[37, 101], [17, 41]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Decision - Unanimous
fight2,1,"[0, 0]","[[25, 45], [21, 50]]","[55.0, 42.0]","[[25, 45], [21, 50]]","[[0, 0], [0, 5]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 47]","[[22, 42], [11, 40]]","[[2, 2], [6, 6]]","[[1, 1], [4, 4]]","[[25, 45], [19, 48]]","[[0, 0], [2, 2]]","[[0, 0], [0, 0]]",,Decision - Majority
fight2,2,"[0, 0]","[[38, 67], [21, 61]]","[56.0, 34.0]","[[41, 70], [22, 62]]","[[0, 0], [1, 3]]","[0.0, 33.0]","[0, 0]","[0, 0]","[0, 23]","[[28, 57], [16, 53]]","[[7, 7], [3, 6]]","[[3, 3], [2, 2]]","[[37, 65], [21, 61]]","[[0, 1], [0, 0]]","[[1, 1], [0, 0]]",,Decision - Majority
fight2,3,"[0, 0]","[[19, 28], [30, 48]]","[67.0, 62.0]","[[24, 34], [70, 96]]","[[0, 0], [2, 4]]","[0.0, 50.0]","[0, 0]","[0, 0]","[0, 233]","[[19, 28], [28, 46]]","[[0, 0], [2, 2]]","[[0, 0], [0, 0]]","[[10, 16], [5, 21]]","[[0, 1], [2, 2]]","[[9, 11], [23, 25]]",,Decision - Majority
fight3,1,"[1, 0]","[[23, 55], [15, 54]]","[41.0, 27.0]","[[30, 64], [19, 60]]","[[0, 0], [1, 1]]","[0.0, 100.0]","[0, 0]","[0, 0]","[28, 61]","[[17, 47], [7, 37]]","[[4, 6], [4, 10]]","[[2, 2], [4, 7]]","[[12, 37], [13, 51]]","[[1, 3], [2, 3]]","[[10, 15], [0, 0]]",,Decision - Unanimous
fight3,2,"[0, 0]","[[29, 57], [21, 69]]","[50.0, 30.0]","[[32, 60], [22, 70]]","[[0, 1], [0, 1]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 20]","[[18, 39], [13, 58]]","[[6, 12], [3, 6]]","[[5, 6], [5, 5]]","[[27, 51], [20, 66]]","[[2, 6], [1, 3]]","[[0, 0], [0, 0]]",,Decision - Unanimous
fight3,3,"[0, 0]","[[11, 23], [7, 13]]","[47.0, 53.0]","[[30, 46], [19, 25]]","[[2, 4], [1, 1]]","[50.0, 100.0]","[0, 0]","[0, 1]","[163, 37]","[[6, 17], [3, 8]]","[[4, 5], [3, 4]]","[[1, 1], [1, 1]]","[[7, 18], [6, 12]]","[[4, 5], [1, 1]]","[[0, 0], [0, 0]]",,Decision - Unanimous
fight6,1,"[0, 0]","[[3, 8], [5, 10]]","[37.0, 50.0]","[[3, 9], [8, 14]]","[[2, 2], [0, 0]]","[100.0, 0.0]","[0, 0]","[0, 0]","[229, 0]","[[1, 5], [2, 5]]","[[0, 1], [0, 2]]","[[2, 2], [3, 3]]","[[3, 7], [5, 9]]","[[0, 0], [0, 0]]","[[0, 1], [0, 1]]",,Decision - Unanimous
fight6,2,"[0, 0]","[[15, 27], [10, 33]]","[55.0, 30.0]","[[18, 30], [15, 40]]","[[0, 8], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[98, 0]","[[12, 22], [6, 25]]","[[2, 3], [2, 4]]","[[1, 2], [2, 4]]","[[13, 24], [8, 28]]","[[2, 3], [2, 5]]","[[0, 0], [0, 0]]",,Decision - Unanimous
fight6,3,"[0, 0]","[[25, 54], [31, 73]]","[46.0, 42.0]","[[26, 55], [32, 75]]","[[1, 7], [0, 0]]","[14.0, 0.0]","[0, 1]","[0, 0]","[14, 7]","[[19, 47], [24, 63]]","[[5, 6], [6, 7]]","[[1, 1], [1, 3]]","[[24, 51], [24, 62]]","[[1, 3], [7, 11]]","[[0, 0], [0, 0]]",,Decision - Unanimous
fight7,1,"[0, 0]","[[3, 8], [0, 4]]","[37.0, 0.0]","[[37, 44], [29, 33]]","[[2, 3], [0, 0]]","[66.0, 0.0]","[0, 0]","[0, 0]","[262, 0]","[[3, 8], [0, 4]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]","[[0, 3], [0, 4]]","[[0, 0], [0, 0]]","[[3, 5], [0, 0]]",,Decision - Split
fight7,2,"[0, 0]","[[6, 31], [11, 29]]","[19.0, 37.0]","[[6, 31], [13, 31]]","[[1, 5], [0, 0]]","[20.0, 0.0]","[0, 1]","[0, 0]","[55, 18]","[[3, 28], [2, 18]]","[[3, 3], [5, 7]]","[[0, 0], [4, 4]]","[[6, 31], [11, 29]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Decision - Split
fight7,3,"[0, 1]","[[12, 24], [14, 33]]","[50.0, 42.0]","[[15, 27], [53, 72]]","[[1, 8], [0, 0]]","[12.0, 0.0]","[0, 0]","[0, 0]","[128, 45]","[[8, 20], [10, 28]]","[[4, 4], [4, 5]]","[[0, 0], [0, 0]]","[[10, 22], [8, 19]]","[[2, 2], [3, 5]]","[[0, 0], [3, 9]]",,Decision - Split
fight9,1,"[0, 0]","[[18, 44], [31, 53]]","[40.0, 58.0]","[[21, 48], [34, 56]]","[[0, 2], [1, 1]]","[0.0, 100.0]","[0, 0]","[0, 0]","[1, 73]","[[5, 29], [9, 25]]","[[6, 7], [9, 13]]","[[7, 8], [13, 15]]","[[18, 44], [27, 49]]","[[0, 0], [4, 4]]","[[0, 0], [0, 0]]",,Decision - Unanimous
fight9,2,"[0, 0]","[[24, 52], [45, 78]]","[46.0, 57.0]","[[27, 55], [49, 83]]","[[0, 0], [1, 3]]","[0.0, 33.0]","[0, 0]","[0, 0]","[4, 68]","[[18, 45], [32, 59]]","[[3, 4], [7, 10]]","[[3, 3], [6, 9]]","[[22, 49], [43, 75]]","[[2, 3], [1, 2]]","[[0, 0], [1, 1]]",,Decision - Unanimous
fight9,3,"[0, 0]","[[24, 54], [36, 69]]","[44.0, 52.0]","[[31, 63], [48, 82]]","[[0, 5], [1, 2]]","[0.0, 50.0]","[0, 0]","[0, 0]","[7, 90]","[[19, 44], [23, 54]]","[[3, 7], [7, 9]]","[[2, 3], [6, 6]]","[[20, 50], [33, 65]]","[[4, 4], [3, 4]]","[[0, 0], [0, 0]]",,Decision - Unanimous
fight10,1,"[0, 0]","[[20, 46], [18, 59]]","[43.0, 30.0]","[[21, 47], [18, 59]]","[[0, 0], [1, 3]]","[0.0, 33.0]","[0, 0]","[0, 0]","[0, 29]","[[9, 32], [10, 46]]","[[1, 4], [7, 11]]","[[10, 10], [1, 2]]","[[19, 43], [18, 59]]","[[1, 3], [0, 0]]","[[0, 0], [0, 0]]",,Decision - Unanimous
fight10,2,"[0, 0]","[[29, 62], [28, 68]]","[46.0, 41.0]","[[31, 64], [29, 69]]","[[0, 0], [1, 3]]","[0.0, 33.0]","[0, 0]","[0, 0]","[0, 33]","[[15, 47], [13, 48]]","[[11, 12], [14, 19]]","[[3, 3], [1, 1]]","[[27, 57], [25, 62]]","[[2, 5], [3, 6]]","[[0, 0], [0, 0]]",,Decision - Unanimous
fight10,3,"[0, 0]","[[52, 89], [29, 99]]","[58.0, 29.0]","[[52, 90], [30, 100]]","[[0, 0], [0, 6]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]","[[41, 75], [20, 75]]","[[9, 12], [9, 24]]","[[2, 2], [0, 0]]","[[52, 89], [28, 94]]","[[0, 0], [1, 4]]","[[0, 0], [0, 1]]",,Decision - Unanimous
fight11,1,"[0, 0]","[[24, 36], [15, 29]]","[66.0, 51.0]","[[26, 38], [68, 89]]","[[0, 0], [0, 1]]","[0.0, 0.0]","[0, 0]","[0, 0]","[86, 33]","[[4, 11], [8, 18]]","[[13, 17], [1, 3]]","[[7, 8], [6, 8]]","[[18, 30], [13, 27]]","[[6, 6], [2, 2]]","[[0, 0], [0, 0]]",,Decision - Unanimous
fight11,2,"[0, 0]","[[18, 38], [25, 44]]","[47.0, 56.0]","[[18, 38], [50, 75]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[62, 100]","[[7, 22], [19, 37]]","[[10, 12], [3, 3]]","[[1, 4], [3, 4]]","[[14, 33], [19, 36]]","[[4, 5], [6, 8]]","[[0, 0], [0, 0]]",,Decision - Unanimous
fight11,3,"[0, 0]","[[29, 46], [13, 29]]","[63.0, 44.0]","[[29, 46], [29, 45]]","[[0, 0], [0, 1]]","[0.0, 0.0]","[0, 0]","[0, 0]","[82, 20]","[[15, 31], [8, 23]]","[[9, 9], [2, 3]]","[[5, 6], [3, 3]]","[[25, 42], [11, 26]]","[[4, 4], [2, 3]]","[[0, 0], [0, 0]]",,Decision - Unanimous
fight12,1,"[0, 0]","[[32, 74], [19, 62]]","[43.0, 30.0]","[[38, 81], [19, 62]]","[[0, 1], [0, 1]]","[0.0, 0.0]","[0, 0]","[0, 0]","[60, 0]","[[20, 61], [10, 47]]","[[1, 2], [6, 12]]","[[11, 11], [3, 3]]","[[30, 72], [19, 62]]","[[2, 2], [0, 0]]","[[0, 0], [0, 0]]",,Decision - Unanimous
fight12,2,"[0, 0]","[[38, 88], [25, 62]]","[43.0, 40.0]","[[38, 88], [26, 63]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[0, 0]","[0, 0]","[19, 0]","[[32, 78], [17, 48]]","[[0, 4], [8, 13]]","[[6, 6], [0, 1]]","[[38, 88], [25, 62]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Decision - Unanimous
fight12,3,"[0, 0]","[[44, 105], [48, 98]]","[41.0, 48.0]","[[47, 109], [50, 100]]","[[1, 4], [0, 0]]","[25.0, 0.0]","[0, 0]","[0, 0]","[4, 27]","[[36, 96], [40, 86]]","[[6, 7], [6, 10]]","[[2, 2], [2, 2]]","[[36, 96], [41, 90]]","[[8, 9], [7, 8]]","[[0, 0], [0, 0]]",,Decision - Unanimous
fight13,1,"[0, 0]","[[36, 68], [39, 95]]","[52.0, 41.0]","[[37, 69], [40, 97]]","[[0, 6], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 42]","[[21, 51], [29, 83]]","[[6, 8], [6, 6]]","[[9, 9], [4, 6]]","[[36, 68], [31, 82]]","[[0, 0], [0, 0]]","[[0, 0], [8, 13]]",,Decision - Unanimous
fight13,2,"[0, 0]","[[48, 88], [34, 84]]","[54.0, 40.0]","[[51, 92], [34, 85]]","[[0, 1], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 20]","[[39, 76], [21, 65]]","[[5, 8], [7, 10]]","[[4, 4], [6, 9]]","[[48, 88], [34, 84]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Decision - Unanimous
fight13,3,"[0, 0]","[[34, 94], [49, 102]]","[36.0, 48.0]","[[35, 95], [49, 102]]","[[0, 2], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]","[[28, 84], [36, 85]]","[[4, 7], [10, 13]]","[[2, 3], [3, 4]]","[[34, 92], [49, 102]]","[[0, 2], [0, 0]]","[[0, 0], [0, 0]]",,Decision - Unanimous
fight15,1,"[0, 0]","[[24, 56], [12, 46]]","[42.0, 26.0]","[[24, 56], [12, 46]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[6, 0]","[[4, 22], [2, 23]]","[[15, 28], [7, 17]]","[[5, 6], [3, 6]]","[[24, 55], [12, 46]]","[[0, 0], [0, 0]]","[[0, 1], [0, 0]]",,Decision - Unanimous
fight15,2,"[1, 0]","[[30, 77], [17, 66]]","[38.0, 25.0]","[[31, 78], [17, 66]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[16, 0]","[[14, 47], [7, 51]]","[[10, 23], [9, 14]]","[[6, 7], [1, 1]]","[[27, 72], [16, 65]]","[[0, 0], [1, 1]]","[[3, 5], [0, 0]]",,Decision - Unanimous
fight15,3,"[0, 0]","[[26, 62], [23, 70]]","[41.0, 32.0]","[[26, 62], [23, 70]]","[[0, 1], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 8]","[[9, 31], [10, 51]]","[[17, 30], [11, 17]]","[[0, 1], [2, 2]]","[[26, 62], [22, 69]]","[[0, 0], [0, 0]]","[[0, 0], [1, 1]]",,Decision - Unanimous
fight16,1,"[0, 1]","[[22, 46], [22, 42]]","[47.0, 52.0]","[[22, 46], [25, 45]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 45]","[[9, 28], [16, 33]]","[[3, 6], [4, 6]]","[[10, 12], [2, 3]]","[[22, 46], [16, 35]]","[[0, 0], [4, 5]]","[[0, 0], [2, 2]]",,Decision - Unanimous
fight16,2,"[0, 0]","[[8, 14], [1, 2]]","[57.0, 50.0]","[[28, 37], [3, 4]]","[[2, 2], [0, 1]]","[100.0, 0.0]","[0, 0]","[0, 0]","[286, 0]","[[8, 13], [1, 2]]","[[0, 1], [0, 0]]","[[0, 0], [0, 0]]","[[3, 6], [1, 2]]","[[0, 1], [0, 0]]","[[5, 7], [0, 0]]",,Decision - Unanimous
fight16,3,"[0, 0]","[[26, 47], [8, 17]]","[55.0, 47.0]","[[27, 48], [10, 20]]","[[3, 3], [0, 2]]","[100.0, 0.0]","[0, 0]","[0, 1]","[67, 35]","[[13, 32], [8, 17]]","[[7, 8], [0, 0]]","[[6, 7], [0, 0]]","[[22, 43], [8, 17]]","[[4, 4], [0, 0]]","[[0, 0], [0, 0]]",,Decision - Unanimous
fight18,1,"[0, 0]","[[17, 25], [13, 46]]","[68.0, 28.0]","[[17, 25], [13, 46]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]","[[4, 10], [2, 26]]","[[9, 10], [3, 5]]","[[4, 5], [8, 15]]","[[17, 25], [13, 46]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Decision - Unanimous
fight18,2,"[0, 0]","[[15, 28], [20, 44]]","[53.0, 45.0]","[[28, 41], [23, 49]]","[[2, 2], [0, 1]]","[100.0, 0.0]","[0, 0]","[0, 0]","[55, 43]","[[8, 20], [7, 30]]","[[6, 7], [9, 9]]","[[1, 1], [4, 5]]","[[13, 24], [19, 41]]","[[1, 2], [1, 3]]","[[1, 2], [0, 0]]",,Decision - Unanimous
fight18,3,"[0, 0]","[[30, 60], [17, 57]]","[50.0, 29.0]","[[42, 75], [26, 70]]","[[2, 2], [0, 1]]","[100.0, 0.0]","[0, 0]","[0, 0]","[48, 30]","[[19, 42], [14, 52]]","[[10, 17], [1, 3]]","[[1, 1], [2, 2]]","[[22, 47], [15, 52]]","[[4, 5], [2, 5]]","[[4, 8], [0, 0]]",,Decision - Unanimous
