fight,ko_winner_body_total,ko_winner_leg_total,ko_loser_body_total,ko_loser_leg_total,non_ko_winner_body_total,non_ko_winner_leg_total,non_ko_loser_body_total,non_ko_loser_leg_total
fight242,10.0,3.0,8.0,9.0,,,,
fight243,,,,,17.0,2.0,18.0,28.0
fight244,,,,,0.0,0.0,8.0,9.0
fight245,,,,,1.0,2.0,2.0,4.0
fight247,,,,,8.0,5.0,10.0,11.0
fight249,,,,,23.0,25.0,11.0,8.0
fight250,,,,,7.0,10.0,5.0,8.0
fight252,,,,,3.0,8.0,9.0,0.0
fight253,,,,,2.0,2.0,0.0,2.0
fight254,,,,,11.0,7.0,17.0,9.0
fight255,,,,,6.0,6.0,3.0,4.0
fight256,,,,,23.0,12.0,3.0,24.0
fight258,,,,,13.0,4.0,21.0,10.0
fight259,,,,,9.0,9.0,14.0,0.0
fight260,,,,,6.0,6.0,5.0,21.0
fight261,,,,,8.0,7.0,2.0,7.0
fight262,,,,,19.0,21.0,8.0,17.0
fight263,,,,,1.0,0.0,1.0,0.0
fight264,,,,,17.0,15.0,24.0,16.0
fight265,,,,,2.0,3.0,6.0,4.0
fight266,,,,,18.0,14.0,7.0,5.0
fight267,,,,,10.0,4.0,14.0,1.0
fight268,,,,,11.0,8.0,25.0,4.0
fight269,,,,,3.0,5.0,1.0,3.0
fight27,21.0,3.0,14.0,17.0,11.0,16.0,26.0,14.0
fight270,,,,,24.0,18.0,6.0,10.0
fight271,,,,,21.0,4.0,22.0,7.0
fight272,,,,,1.0,2.0,2.0,0.0
fight274,,,,,10.0,2.0,14.0,10.0
fight275,,,,,20.0,3.0,11.0,0.0
fight276,,,,,7.0,4.0,20.0,18.0
fight277,,,,,5.0,1.0,20.0,5.0
fight278,,,,,12.0,0.0,12.0,6.0
fight279,,,,,7.0,11.0,15.0,12.0
fight28,,,,,40.0,17.0,35.0,11.0
fight280,,,,,12.0,7.0,15.0,29.0
fight281,,,,,2.0,5.0,29.0,3.0
fight282,,,,,10.0,1.0,14.0,14.0
fight284,,,,,4.0,4.0,4.0,9.0
fight287,,,,,4.0,2.0,8.0,3.0
fight29,25.0,9.0,17.0,1.0,1.0,3.0,8.0,1.0
fight290,,,,,7.0,0.0,11.0,6.0
fight291,,,,,14.0,35.0,9.0,16.0
fight292,,,,,18.0,18.0,4.0,4.0
fight294,,,,,10.0,1.0,5.0,8.0
fight295,,,,,15.0,1.0,19.0,8.0
fight296,,,,,41.0,13.0,7.0,7.0
fight297,,,,,15.0,16.0,5.0,18.0
fight298,,,,,12.0,2.0,16.0,16.0
fight3,,,,,18.0,8.0,16.0,12.0
fight30,,,,,8.0,4.0,22.0,13.0
fight301,,,,,9.0,8.0,5.0,4.0
fight305,,,,,19.0,21.0,10.0,16.0
fight306,,,,,4.0,0.0,10.0,5.0
fight307,,,,,1.0,1.0,9.0,1.0
fight308,,,,,3.0,4.0,11.0,4.0
fight31,31.0,1.0,13.0,5.0,5.0,15.0,8.0,4.0
fight310,,,,,23.0,16.0,19.0,6.0
fight311,,,,,5.0,12.0,5.0,0.0
fight312,,,,,9.0,12.0,12.0,2.0
fight314,,,,,16.0,7.0,15.0,11.0
