fight_id,current_round,kd,sig_str,sig_str_pct,total_str,td_attempt,td_pct,sub_att,rev,ctrl_sec,head,body,leg,distance,clinch,ground,total_round,method
fight447,1,"[1, 0]","[[6, 11], [0, 1]]","[54.0, 0.0]","[[6, 11], [0, 1]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[1, 0]","[0, 0]","[10, 0]","[[6, 11], [0, 1]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]","[[2, 5], [0, 1]]","[[0, 0], [0, 0]]","[[4, 6], [0, 0]]",,Submission
fight454,1,"[0, 0]","[[5, 13], [1, 5]]","[38.0, 20.0]","[[40, 58], [2, 6]]","[[2, 2], [0, 0]]","[100.0, 0.0]","[1, 0]","[0, 0]","[255, 0]","[[4, 12], [1, 5]]","[[0, 0], [0, 0]]","[[1, 1], [0, 0]]","[[1, 3], [0, 4]]","[[0, 0], [0, 0]]","[[4, 10], [1, 1]]",,Submission
fight456,1,"[0, 0]","[[4, 11], [5, 12]]","[36.0, 41.0]","[[4, 11], [5, 12]]","[[0, 2], [1, 1]]","[0.0, 100.0]","[1, 0]","[0, 0]","[17, 12]","[[2, 8], [5, 12]]","[[2, 3], [0, 0]]","[[0, 0], [0, 0]]","[[3, 10], [5, 12]]","[[1, 1], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight474,1,"[0, 0]","[[3, 5], [0, 0]]","[60.0, 0.0]","[[6, 8], [5, 5]]","[[2, 3], [0, 0]]","[66.0, 0.0]","[1, 0]","[0, 0]","[88, 2]","[[3, 5], [0, 0]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]","[[0, 2], [0, 0]]","[[0, 0], [0, 0]]","[[3, 3], [0, 0]]",,DQ
fight489,1,"[0, 0]","[[6, 19], [10, 15]]","[31.0, 66.0]","[[6, 19], [10, 15]]","[[0, 0], [1, 1]]","[0.0, 100.0]","[0, 1]","[0, 0]","[3, 10]","[[3, 15], [5, 10]]","[[3, 4], [3, 3]]","[[0, 0], [2, 2]]","[[5, 18], [9, 14]]","[[1, 1], [1, 1]]","[[0, 0], [0, 0]]",,Submission
fight492,1,"[0, 0]","[[8, 29], [7, 15]]","[27.0, 46.0]","[[10, 31], [13, 23]]","[[0, 0], [0, 2]]","[0.0, 0.0]","[1, 0]","[0, 0]","[0, 69]","[[5, 26], [4, 10]]","[[2, 2], [1, 3]]","[[1, 1], [2, 2]]","[[6, 26], [4, 10]]","[[2, 3], [3, 5]]","[[0, 0], [0, 0]]",,Submission
fight495,1,"[0, 0]","[[9, 28], [6, 18]]","[32.0, 33.0]","[[9, 28], [6, 18]]","[[1, 2], [0, 0]]","[50.0, 0.0]","[1, 0]","[0, 0]","[68, 6]","[[4, 20], [1, 12]]","[[5, 8], [1, 2]]","[[0, 0], [4, 4]]","[[8, 27], [6, 18]]","[[1, 1], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight499,1,"[0, 0]","[[1, 1], [0, 3]]","[100.0, 0.0]","[[1, 1], [0, 3]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[1, 0]","[0, 0]","[22, 0]","[[0, 0], [0, 3]]","[[0, 0], [0, 0]]","[[1, 1], [0, 0]]","[[1, 1], [0, 3]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,Submission
fight505,1,"[0, 1]","[[12, 34], [13, 31]]","[35.0, 41.0]","[[12, 34], [13, 31]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[0, 1]","[0, 0]","[0, 61]","[[6, 24], [7, 23]]","[[3, 5], [4, 4]]","[[3, 5], [2, 4]]","[[12, 33], [9, 23]]","[[0, 1], [2, 4]]","[[0, 0], [2, 4]]",,Submission
fight507,1,"[0, 0]","[[4, 28], [10, 26]]","[14.0, 38.0]","[[4, 28], [19, 35]]","[[1, 2], [0, 1]]","[50.0, 0.0]","[0, 1]","[0, 0]","[90, 8]","[[4, 25], [5, 17]]","[[0, 3], [2, 4]]","[[0, 0], [3, 5]]","[[4, 28], [8, 24]]","[[0, 0], [2, 2]]","[[0, 0], [0, 0]]",,Submission
fight519,1,"[0, 0]","[[0, 4], [18, 34]]","[0.0, 52.0]","[[11, 16], [37, 54]]","[[0, 0], [1, 1]]","[0.0, 100.0]","[0, 1]","[0, 0]","[0, 161]","[[0, 3], [18, 34]]","[[0, 0], [0, 0]]","[[0, 1], [0, 0]]","[[0, 4], [2, 4]]","[[0, 0], [0, 0]]","[[0, 0], [16, 30]]",,Submission
fight522,1,"[0, 0]","[[11, 38], [2, 20]]","[28.0, 10.0]","[[17, 45], [2, 20]]","[[1, 1], [0, 1]]","[100.0, 0.0]","[2, 0]","[0, 0]","[46, 0]","[[5, 27], [2, 18]]","[[3, 7], [0, 1]]","[[3, 4], [0, 1]]","[[8, 30], [2, 20]]","[[0, 0], [0, 0]]","[[3, 8], [0, 0]]",,Submission
