fight_id,current_round,kd,sig_str,sig_str_pct,total_str,td_attempt,td_pct,sub_att,rev,ctrl_sec,head,body,leg,distance,clinch,ground,total_round,method
fight2,1,"[0, 0]","[[17, 31], [14, 28]]","[54.0, 50.0]","[[38, 53], [18, 32]]","[[0, 0], [1, 2]]","[0.0, 50.0]","[0, 0]","[0, 0]","[143, 8]","[[8, 13], [9, 23]]","[[4, 6], [4, 4]]","[[5, 12], [1, 1]]","[[15, 29], [14, 28]]","[[2, 2], [0, 0]]","[[0, 0], [0, 0]]",,KO/TKO
fight2,2,"[0, 0]","[[47, 78], [28, 56]]","[60.0, 50.0]","[[50, 81], [29, 57]]","[[0, 0], [0, 1]]","[0.0, 0.0]","[0, 0]","[0, 0]","[58, 7]","[[25, 47], [18, 45]]","[[6, 9], [8, 9]]","[[16, 22], [2, 2]]","[[28, 54], [28, 56]]","[[4, 4], [0, 0]]","[[15, 20], [0, 0]]",,KO/TKO
fight6,1,"[0, 0]","[[12, 36], [11, 53]]","[33.0, 20.0]","[[12, 36], [11, 53]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]","[[7, 28], [3, 29]]","[[2, 4], [6, 19]]","[[3, 4], [2, 5]]","[[12, 36], [11, 51]]","[[0, 0], [0, 2]]","[[0, 0], [0, 0]]",,KO/TKO
fight6,2,"[1, 0]","[[18, 39], [12, 45]]","[46.0, 26.0]","[[18, 39], [12, 45]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[12, 0]","[[15, 35], [5, 27]]","[[2, 2], [5, 16]]","[[1, 2], [2, 2]]","[[8, 25], [12, 45]]","[[0, 0], [0, 0]]","[[10, 14], [0, 0]]",,KO/TKO
fight7,1,"[1, 1]","[[29, 73], [20, 57]]","[39.0, 35.0]","[[31, 75], [25, 62]]","[[0, 0], [1, 1]]","[0.0, 100.0]","[0, 1]","[0, 0]","[21, 136]","[[21, 61], [17, 51]]","[[6, 10], [1, 2]]","[[2, 2], [2, 4]]","[[25, 59], [12, 44]]","[[0, 0], [2, 3]]","[[4, 14], [6, 10]]",,KO/TKO
fight7,2,"[0, 0]","[[9, 26], [37, 79]]","[34.0, 46.0]","[[9, 26], [42, 85]]","[[0, 1], [1, 1]]","[0.0, 100.0]","[0, 0]","[0, 0]","[0, 85]","[[5, 15], [35, 77]]","[[2, 9], [1, 1]]","[[2, 2], [1, 1]]","[[9, 26], [11, 40]]","[[0, 0], [0, 0]]","[[0, 0], [26, 39]]",,KO/TKO
fight10,1,"[0, 0]","[[8, 18], [3, 8]]","[44.0, 37.0]","[[14, 25], [13, 24]]","[[0, 1], [1, 2]]","[0.0, 50.0]","[0, 2]","[0, 0]","[0, 260]","[[4, 14], [2, 5]]","[[0, 0], [0, 1]]","[[4, 4], [1, 2]]","[[6, 16], [3, 8]]","[[2, 2], [0, 0]]","[[0, 0], [0, 0]]",,KO/TKO
fight10,2,"[0, 1]","[[43, 93], [44, 69]]","[46.0, 63.0]","[[43, 93], [45, 70]]","[[0, 1], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[5, 2]","[[23, 71], [27, 48]]","[[8, 10], [15, 19]]","[[12, 12], [2, 2]]","[[40, 89], [41, 66]]","[[3, 4], [0, 0]]","[[0, 0], [3, 3]]",,KO/TKO
fight12,1,"[0, 1]","[[39, 63], [36, 82]]","[61.0, 43.0]","[[45, 70], [44, 91]]","[[0, 1], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[65, 6]","[[21, 43], [23, 68]]","[[12, 13], [9, 9]]","[[6, 7], [4, 5]]","[[25, 46], [28, 72]]","[[14, 17], [8, 10]]","[[0, 0], [0, 0]]",,KO/TKO
fight12,2,"[1, 0]","[[54, 87], [30, 75]]","[62.0, 40.0]","[[57, 91], [32, 77]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[24, 10]","[[39, 71], [23, 68]]","[[13, 14], [7, 7]]","[[2, 2], [0, 0]]","[[33, 63], [26, 63]]","[[19, 21], [4, 12]]","[[2, 3], [0, 0]]",,KO/TKO
fight20,1,"[0, 0]","[[11, 31], [10, 37]]","[35.0, 27.0]","[[11, 31], [14, 42]]","[[0, 1], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[10, 0]","[[6, 21], [5, 25]]","[[3, 6], [5, 9]]","[[2, 4], [0, 3]]","[[10, 30], [9, 36]]","[[1, 1], [1, 1]]","[[0, 0], [0, 0]]",,KO/TKO
fight20,2,"[1, 0]","[[8, 19], [6, 19]]","[42.0, 31.0]","[[8, 19], [6, 19]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[2, 0]","[[7, 16], [3, 14]]","[[0, 2], [2, 3]]","[[1, 1], [1, 2]]","[[6, 16], [6, 19]]","[[0, 0], [0, 0]]","[[2, 3], [0, 0]]",,KO/TKO
fight22,1,"[0, 0]","[[20, 52], [4, 10]]","[38.0, 40.0]","[[41, 87], [27, 34]]","[[1, 3], [0, 0]]","[33.0, 0.0]","[0, 0]","[0, 0]","[230, 0]","[[16, 42], [3, 6]]","[[3, 9], [1, 4]]","[[1, 1], [0, 0]]","[[2, 17], [3, 9]]","[[0, 0], [1, 1]]","[[18, 35], [0, 0]]",,KO/TKO
fight22,2,"[0, 0]","[[24, 38], [1, 2]]","[63.0, 50.0]","[[39, 57], [2, 4]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[0, 0]","[0, 0]","[79, 0]","[[22, 34], [1, 2]]","[[1, 3], [0, 0]]","[[1, 1], [0, 0]]","[[3, 7], [1, 2]]","[[0, 0], [0, 0]]","[[21, 31], [0, 0]]",,KO/TKO
