fight_id,current_round,kd,sig_str,sig_str_pct,total_str,td_attempt,td_pct,sub_att,rev,ctrl_sec,head,body,leg,distance,clinch,ground,total_round,method
fight226,1,"[1, 0]","[[6, 8], [2, 3]]","[75.0, 66.0]","[[6, 8], [2, 3]]","[[0, 1], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[3, 0]","[[6, 8], [1, 2]]","[[0, 0], [1, 1]]","[[0, 0], [0, 0]]","[[1, 3], [1, 2]]","[[0, 0], [1, 1]]","[[5, 5], [0, 0]]",,KO/TKO
fight227,1,"[0, 0]","[[5, 13], [24, 38]]","[38.0, 63.0]","[[5, 13], [36, 51]]","[[0, 0], [1, 2]]","[0.0, 50.0]","[0, 0]","[0, 0]","[0, 155]","[[4, 11], [21, 35]]","[[1, 2], [3, 3]]","[[0, 0], [0, 0]]","[[4, 11], [2, 6]]","[[1, 2], [2, 3]]","[[0, 0], [20, 29]]",,KO/TKO
fight228,1,"[0, 0]","[[12, 41], [45, 78]]","[29.0, 57.0]","[[12, 41], [49, 83]]","[[0, 1], [1, 3]]","[0.0, 33.0]","[0, 0]","[0, 0]","[22, 20]","[[9, 38], [34, 67]]","[[2, 2], [8, 8]]","[[1, 1], [3, 3]]","[[10, 38], [20, 45]]","[[2, 3], [22, 30]]","[[0, 0], [3, 3]]",,KO/TKO
fight229,1,"[2, 0]","[[36, 66], [16, 35]]","[54.0, 45.0]","[[36, 66], [17, 36]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[16, 0]","[[31, 58], [13, 29]]","[[1, 4], [2, 3]]","[[4, 4], [1, 3]]","[[25, 46], [15, 32]]","[[6, 14], [1, 3]]","[[5, 6], [0, 0]]",,KO/TKO
fight230,1,"[2, 0]","[[46, 70], [9, 30]]","[65.0, 30.0]","[[48, 72], [10, 31]]","[[0, 2], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[81, 28]","[[33, 56], [5, 17]]","[[9, 10], [4, 12]]","[[4, 4], [0, 1]]","[[16, 27], [5, 25]]","[[11, 16], [4, 5]]","[[19, 27], [0, 0]]",,KO/TKO
fight233,1,"[1, 0]","[[25, 59], [11, 43]]","[42.0, 25.0]","[[25, 59], [11, 43]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[1, 0]","[[18, 48], [9, 40]]","[[1, 5], [1, 2]]","[[6, 6], [1, 1]]","[[25, 59], [11, 42]]","[[0, 0], [0, 1]]","[[0, 0], [0, 0]]",,KO/TKO
fight234,1,"[0, 0]","[[20, 35], [1, 3]]","[57.0, 33.0]","[[31, 56], [2, 4]]","[[0, 0], [1, 1]]","[0.0, 100.0]","[0, 0]","[1, 0]","[141, 41]","[[19, 33], [0, 1]]","[[0, 0], [1, 1]]","[[1, 2], [0, 1]]","[[1, 7], [1, 3]]","[[0, 0], [0, 0]]","[[19, 28], [0, 0]]",,KO/TKO
fight236,1,"[0, 0]","[[26, 44], [4, 7]]","[59.0, 57.0]","[[26, 44], [4, 7]]","[[0, 0], [0, 1]]","[0.0, 0.0]","[0, 0]","[0, 0]","[9, 0]","[[21, 39], [2, 5]]","[[4, 4], [1, 1]]","[[1, 1], [1, 1]]","[[19, 31], [4, 7]]","[[1, 2], [0, 0]]","[[6, 11], [0, 0]]",,KO/TKO
fight237,1,"[1, 0]","[[32, 48], [10, 46]]","[66.0, 21.0]","[[32, 48], [10, 46]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[0, 0]","[0, 0]","[30, 0]","[[22, 38], [5, 40]]","[[6, 6], [5, 6]]","[[4, 4], [0, 0]]","[[18, 30], [10, 46]]","[[0, 0], [0, 0]]","[[14, 18], [0, 0]]",,KO/TKO
fight238,1,"[0, 1]","[[9, 13], [18, 27]]","[69.0, 66.0]","[[9, 13], [22, 31]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 6]","[[3, 7], [13, 22]]","[[2, 2], [4, 4]]","[[4, 4], [1, 1]]","[[8, 12], [9, 18]]","[[1, 1], [4, 4]]","[[0, 0], [5, 5]]",,KO/TKO
