fight_id,current_round,kd,sig_str,sig_str_pct,total_str,td_attempt,td_pct,sub_att,rev,ctrl_sec,head,body,leg,distance,clinch,ground,total_round,method
fight3,1,"[0, 0]","[[17, 66], [28, 58]]","[25.0, 48.0]","[[17, 66], [28, 58]]","[[0, 0], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]","[[11, 53], [12, 40]]","[[3, 7], [5, 7]]","[[3, 6], [11, 11]]","[[17, 66], [28, 58]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,KO/TKO
fight3,2,"[0, 0]","[[27, 80], [35, 58]]","[33.0, 60.0]","[[27, 80], [36, 59]]","[[0, 1], [0, 1]]","[0.0, 0.0]","[0, 0]","[0, 0]","[0, 0]","[[20, 70], [18, 36]]","[[3, 5], [11, 13]]","[[4, 5], [6, 9]]","[[27, 80], [35, 58]]","[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",,KO/TKO
fight3,3,"[0, 0]","[[7, 18], [20, 45]]","[38.0, 44.0]","[[7, 18], [21, 46]]","[[0, 2], [0, 0]]","[0.0, 0.0]","[0, 0]","[0, 0]","[2, 4]","[[5, 16], [16, 41]]","[[1, 1], [2, 2]]","[[1, 1], [2, 2]]","[[7, 18], [14, 37]]","[[0, 0], [6, 8]]","[[0, 0], [0, 0]]",,KO/TKO
fight4,1,"[0, 0]","[[22, 41], [23, 64]]","[53.0, 35.0]","[[23, 42], [24, 65]]","[[1, 1], [0, 1]]","[100.0, 0.0]","[0, 0]","[0, 0]","[24, 0]","[[15, 33], [16, 55]]","[[2, 2], [5, 7]]","[[5, 6], [2, 2]]","[[20, 39], [23, 64]]","[[2, 2], [0, 0]]","[[0, 0], [0, 0]]",,KO/TKO
fight4,2,"[0, 0]","[[33, 61], [31, 86]]","[54.0, 36.0]","[[48, 77], [45, 100]]","[[1, 2], [1, 1]]","[50.0, 100.0]","[1, 0]","[1, 0]","[72, 9]","[[26, 54], [29, 82]]","[[3, 3], [2, 4]]","[[4, 4], [0, 0]]","[[27, 55], [31, 86]]","[[6, 6], [0, 0]]","[[0, 0], [0, 0]]",,KO/TKO
fight4,3,"[1, 0]","[[36, 60], [11, 36]]","[60.0, 30.0]","[[36, 60], [11, 36]]","[[0, 0], [0, 1]]","[0.0, 0.0]","[1, 0]","[0, 0]","[25, 0]","[[33, 57], [10, 34]]","[[2, 2], [1, 2]]","[[1, 1], [0, 0]]","[[23, 43], [11, 36]]","[[2, 3], [0, 0]]","[[11, 14], [0, 0]]",,KO/TKO
fight13,1,"[0, 0]","[[5, 11], [16, 40]]","[45.0, 40.0]","[[7, 14], [25, 50]]","[[2, 3], [0, 0]]","[66.0, 0.0]","[0, 0]","[0, 0]","[130, 0]","[[4, 10], [7, 28]]","[[1, 1], [1, 2]]","[[0, 0], [8, 10]]","[[4, 7], [16, 40]]","[[0, 0], [0, 0]]","[[1, 4], [0, 0]]",,KO/TKO
fight13,2,"[0, 0]","[[5, 14], [34, 63]]","[35.0, 53.0]","[[11, 21], [49, 83]]","[[2, 4], [0, 0]]","[50.0, 0.0]","[0, 0]","[0, 1]","[34, 135]","[[1, 6], [26, 53]]","[[2, 5], [1, 1]]","[[2, 3], [7, 9]]","[[5, 14], [19, 41]]","[[0, 0], [4, 5]]","[[0, 0], [11, 17]]",,KO/TKO
fight13,3,"[0, 0]","[[1, 3], [30, 40]]","[33.0, 75.0]","[[2, 4], [47, 64]]","[[0, 0], [1, 2]]","[0.0, 50.0]","[0, 0]","[0, 0]","[0, 146]","[[1, 2], [28, 38]]","[[0, 1], [2, 2]]","[[0, 0], [0, 0]]","[[1, 3], [8, 15]]","[[0, 0], [0, 0]]","[[0, 0], [22, 25]]",,KO/TKO
fight23,1,"[0, 0]","[[18, 29], [9, 22]]","[62.0, 40.0]","[[24, 35], [12, 27]]","[[0, 0], [1, 3]]","[0.0, 33.0]","[0, 1]","[1, 1]","[80, 109]","[[12, 22], [2, 14]]","[[5, 6], [6, 7]]","[[1, 1], [1, 1]]","[[13, 21], [6, 17]]","[[4, 4], [3, 5]]","[[1, 4], [0, 0]]",,KO/TKO
fight23,2,"[0, 0]","[[34, 55], [7, 32]]","[61.0, 21.0]","[[37, 60], [12, 38]]","[[1, 1], [0, 0]]","[100.0, 0.0]","[1, 0]","[0, 0]","[70, 58]","[[28, 47], [5, 25]]","[[4, 6], [1, 5]]","[[2, 2], [1, 2]]","[[30, 48], [3, 27]]","[[1, 3], [4, 5]]","[[3, 4], [0, 0]]",,KO/TKO
fight23,3,"[1, 0]","[[6, 10], [0, 5]]","[60.0, 0.0]","[[8, 12], [1, 7]]","[[3, 3], [0, 0]]","[100.0, 0.0]","[0, 0]","[0, 0]","[133, 0]","[[4, 8], [0, 5]]","[[2, 2], [0, 0]]","[[0, 0], [0, 0]]","[[2, 6], [0, 5]]","[[2, 2], [0, 0]]","[[2, 2], [0, 0]]",,KO/TKO
fight26,1,"[0, 0]","[[25, 36], [15, 27]]","[69.0, 55.0]","[[39, 52], [15, 28]]","[[0, 1], [0, 3]]","[0.0, 0.0]","[1, 0]","[0, 0]","[48, 17]","[[15, 24], [6, 14]]","[[9, 11], [0, 4]]","[[1, 1], [9, 9]]","[[21, 32], [15, 27]]","[[4, 4], [0, 0]]","[[0, 0], [0, 0]]",,KO/TKO
